course_url,course_name,absoulte_url
/course/chino-primera-impresion-4635,Chino básico: Cómo dar una primera impresión positiva,https://www.classcentral.com/course/chino-primera-impresion-4635
/course/the-talmud-5915,The Talmud: A Methodological Introduction,https://www.classcentral.com/course/the-talmud-5915
/course/roman-art-archaeology-5796,Roman Art and Archaeology,https://www.classcentral.com/course/roman-art-archaeology-5796
/course/business-6010,English for Business and Entrepreneurship,https://www.classcentral.com/course/business-6010
/course/holocaust-introduction-1-5280,"The Holocaust - An Introduction (I): Nazi Germany: Ideology, The Jews and the World",https://www.classcentral.com/course/holocaust-introduction-1-5280
/course/english-communication-capstone-5597,Take Your English Communication Skills to the Next Level,https://www.classcentral.com/course/english-communication-capstone-5597
/course/become-a-journalist3-5553,Effectively delivering the news to your audience,https://www.classcentral.com/course/become-a-journalist3-5553
/course/what-is-news-5520,What is news? ,https://www.classcentral.com/course/what-is-news-5520
/course/become-a-journalist2-5523,Gathering and Developing the News,https://www.classcentral.com/course/become-a-journalist2-5523
/course/speak-english-professionally-5440,"Speak English Professionally: In Person, Online & On the Phone",https://www.classcentral.com/course/speak-english-professionally-5440
/course/business-english-presentations-5441,Business English: Making Presentations,https://www.classcentral.com/course/business-english-presentations-5441
/course/business-english-capstone-5610,Business English: Capstone Project,https://www.classcentral.com/course/business-english-capstone-5610
/course/business-english-for-cross-cultural-comm-5618,Business English for Cross-cultural Communication,https://www.classcentral.com/course/business-english-for-cross-cultural-comm-5618
/course/story-writing-project-5622,Capstone: Your Story,https://www.classcentral.com/course/story-writing-project-5622
/course/professional-emails-english-5449,Write Professional Emails in English,https://www.classcentral.com/course/professional-emails-english-5449
/course/swayam-introduction-to-film-studies-14148,Introduction to Film studies,https://www.classcentral.com/course/swayam-introduction-to-film-studies-14148
/course/swayam-ergonomics-workplace-analysis-14044,Ergonomics Workplace Analysis,https://www.classcentral.com/course/swayam-ergonomics-workplace-analysis-14044
/course/swayam-design-thinking-a-primer-12998,Design Thinking - A Primer,https://www.classcentral.com/course/swayam-design-thinking-a-primer-12998
/course/swayam-certificate-course-in-hindustani-raga-sangeet-level-2-13938,Certificate Course in Hindustani Raga Sangeet–Level 2,https://www.classcentral.com/course/swayam-certificate-course-in-hindustani-raga-sangeet-level-2-13938
/course/swayam-fundamentals-of-percussion-tabla-14078,Fundamentals of Percussion -Tabla,https://www.classcentral.com/course/swayam-fundamentals-of-percussion-tabla-14078
/course/swayam-aesthetic-of-taal-----------13889,Aesthetic Of Taal (तालों का सौन्दर्यशास्त्र),https://www.classcentral.com/course/swayam-aesthetic-of-taal-----------13889
/course/swayam-basics-of-photography-13910,Basics of Photography,https://www.classcentral.com/course/swayam-basics-of-photography-13910
/course/songwriting-3369,How to Write Your First Song,https://www.classcentral.com/course/songwriting-3369
/course/thaimooc-----southen-folk-art-15258,ศิลปกรรมท้องถิ่นชายแดนใต้ (Southen Folk Art ),https://www.classcentral.com/course/thaimooc-----southen-folk-art-15258
/course/making-music-11959,Making Music with Others,https://www.classcentral.com/course/making-music-11959
/course/thaimooc-------basic-fashion-designer-community-15254,พื้นฐานนักออกแบบแฟชั่นสำหรับชุมชน (Basic Fashion Designer Community),https://www.classcentral.com/course/thaimooc-------basic-fashion-designer-community-15254
/course/swayam-vernacular-architecture-14350,Vernacular architecture,https://www.classcentral.com/course/swayam-vernacular-architecture-14350
